2025-09-28 16:28:01,188 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2025-09-28 16:28:01,225 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2025-09-28 16:28:01,225 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2025-09-28 16:28:01,225 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2025-09-28 16:28:01,240 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2025-09-28 16:28:01,240 INFO  SwAddin.cs: 197 - Setting up callbacks
2025-09-28 16:28:01,240 INFO  SwAddin.cs: 201 - Setting up command manager
2025-09-28 16:28:01,240 INFO  SwAddin.cs: 204 - Adding command manager
2025-09-28 16:28:01,248 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2025-09-28 16:28:01,250 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2025-09-28 16:28:01,250 INFO  SwAddin.cs: 210 - Adding event handlers
2025-09-28 16:28:01,272 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2025-09-28 16:45:48,529 INFO  SwAddin.cs: 294 - Assembly export called for file Final_Assembly.SLDASM
2025-09-28 16:45:48,531 INFO  SwAddin.cs: 299 - Save is required
2025-09-28 16:45:48,532 INFO  SwAddin.cs: 313 - Saving assembly
2025-09-28 16:45:49,292 INFO  SwAddin.cs: 316 - Opening property manager
2025-09-28 16:45:49,318 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Final_Assembly.SLDASM
2025-09-28 16:45:49,328 INFO  ExportHelperExtension.cs: 1136 - Found 37 in Final_Assembly.SLDASM
2025-09-28 16:45:49,330 INFO  ExportHelperExtension.cs: 1145 - Found 3 features of type [CoordSys] in Final_Assembly.SLDASM
2025-09-28 16:45:49,331 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2025-09-28 16:45:49,333 INFO  ExportHelperExtension.cs: 1160 - 3 components to check
2025-09-28 16:45:49,336 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from claw-2
2025-09-28 16:45:49,338 INFO  ExportHelperExtension.cs: 1136 - Found 94 in claw-2
2025-09-28 16:45:49,339 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in claw-2
2025-09-28 16:45:49,340 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from base-1
2025-09-28 16:45:49,341 INFO  ExportHelperExtension.cs: 1136 - Found 38 in base-1
2025-09-28 16:45:49,342 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in base-1
2025-09-28 16:45:49,343 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from claw-1
2025-09-28 16:45:49,344 INFO  ExportHelperExtension.cs: 1136 - Found 94 in claw-1
2025-09-28 16:45:49,345 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in claw-1
2025-09-28 16:45:49,346 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from Final_Assembly.SLDASM
2025-09-28 16:45:49,348 INFO  ExportHelperExtension.cs: 1136 - Found 37 in Final_Assembly.SLDASM
2025-09-28 16:45:49,349 INFO  ExportHelperExtension.cs: 1145 - Found 2 features of type [RefAxis] in Final_Assembly.SLDASM
2025-09-28 16:45:49,350 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2025-09-28 16:45:49,351 INFO  ExportHelperExtension.cs: 1160 - 3 components to check
2025-09-28 16:45:49,352 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from claw-2
2025-09-28 16:45:49,352 INFO  ExportHelperExtension.cs: 1136 - Found 94 in claw-2
2025-09-28 16:45:49,354 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in claw-2
2025-09-28 16:45:49,355 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from base-1
2025-09-28 16:45:49,356 INFO  ExportHelperExtension.cs: 1136 - Found 38 in base-1
2025-09-28 16:45:49,357 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in base-1
2025-09-28 16:45:49,358 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from claw-1
2025-09-28 16:45:49,359 INFO  ExportHelperExtension.cs: 1136 - Found 94 in claw-1
2025-09-28 16:45:49,372 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in claw-1
2025-09-28 16:45:50,031 INFO  SwAddin.cs: 339 - Loading config tree
